restaurant_name,category
지코바치킨,치킨
치킨선생,치킨
호식이두마리치킨,치킨
처갓집양념치킨,치킨
자담치킨,치킨
또래오래,치킨
치킨플러스,치킨
오븐마루,치킨
네네치킨,치킨
KFC,치킨
순삭닭강정,치킨
페리카나,치킨
호치킨,치킨
굽네치킨 피자,치킨
부어치킨,치킨
훌랄라치킨,치킨
맘스터치,치킨
불꽃닭강정,치킨
푸라닭,치킨
푸라닭,치킨
찌웅이네숯불두마리치킨,치킨
냠냠숯불두마리치킨,치킨
푸라닭,치킨
프랑킨숯불양념구이치킨,치킨
프랑킨숯불양념구이치킨,치킨
오븐마루,치킨
걸작떡볶이치킨,치킨
큰집닭강정,치킨
굽네치킨 피자,치킨
피자나라치킨공주,치킨
BHC,치킨
호식이두마리치킨,치킨
닭광정,치킨
사나운치킨,치킨
호식이두마리치킨,치킨
피자나라치킨공주,치킨
지코바치킨,치킨
지코바,치킨
푸라닭,치킨
꼬꼬아찌숯불치킨,치킨
지코바치킨,치킨
동근이숯불두마리치킨,치킨
푸라닭,치킨
호식이두마리치킨,치킨
보드람치킨,치킨
오븐마루,치킨
후라이드참잘하는집,치킨
맘스터치피자앤치킨,치킨
지코바,치킨
굽네치킨 피자,치킨
지코바치킨,치킨
처갓집양념치킨,치킨
자담치킨,치킨
굽네치킨 피자,치킨
BHC,치킨
굽네치킨 피자,치킨
또래오래,치킨
보드람치킨 1인 ,치킨
이집닭강정잘하네,치킨
자담치킨,치킨
멕시카나,치킨
BHC,치킨
김종용누룽지통닭,치킨
정석닭강정,치킨
순살만공격,치킨
깻잎두마리치킨,치킨
BHC,치킨
푸라닭,치킨
치킨플러스,치킨
땅땅치킨,치킨
미친피자,치킨
호치킨,치킨
굽네치킨 피자,치킨
보드람치킨,치킨
꿀벌닭강정,치킨
오븐마루,치킨
소풍닭강정,치킨
퐁닭,치킨
야꼬닭바베큐,치킨
수현이네통닭,치킨
BBQ,치킨
소풍닭강정,치킨
바른치킨,치킨
롯데리아,치킨
롯데리아,치킨
네네치킨,치킨
BHC,치킨
굽네치킨 피자,치킨
치킨선생,치킨
푸라닭,치킨
바른치킨,치킨
오븐마루,치킨
소풍닭강정,치킨
BHC,치킨
KFC,치킨
후라이드참잘하는집,치킨
순삭닭강정,치킨
페리카나,치킨
치킨품은떡볶이,치킨
삼통치킨,치킨
일인반닭,치킨
BHC,치킨
멕시카나,치킨
호치킨,치킨
오새닭강정꼬마김밥,치킨
BHC,치킨
당신은지금치킨이땡긴다,치킨
BHC,치킨
멕시카나,치킨
굽네치킨 피자,치킨
마담순살떡볶이,치킨
소풍닭강정,치킨
아라치,치킨
옛날우리통닭,치킨
수준이다른치킨,치킨
못말리는파닭,치킨
13년전통의숯불바베큐치킨,치킨
태리로제떡볶이,치킨
피자이탈리,치킨
네네치킨,치킨
Mr죤슨바베큐,치킨
코리엔탈깻잎두마리치킨,치킨
BBQ,치킨
롯데리아,치킨
쇼랜드치킨,치킨
달슈퍼닭강정 밀키트,치킨
닭강정,치킨
부어치킨,치킨
BHC,치킨
작살치킨,치킨
굽네치킨 피자,치킨
치킨뱅이,치킨
잉치킨,치킨
맛닭꼬,치킨
롯데리아,치킨
계림원누룽지통닭,치킨
굽고굽고,치킨
수현이네닭강정,치킨
오븐에빠진닭,치킨
훌랄라치킨,치킨
큰손1치킨2피자,치킨
호치킨,치킨
BHC,치킨
보드람치킨,치킨
페리카나,치킨
1962옛날통닭,치킨
참나라장작구이,치킨
맛닭꼬,치킨
미쳐버린파닭,치킨
청춘커리,치킨
원래는치킨집을할려고했었다,치킨
요달의찜닭,치킨
더플할라피뇨체다순살치킨,치킨
아마,치킨
페리카나,치킨
잇츠닭강정,치킨
정성통닭,치킨
파닭먹는날,치킨
김빠빠누룽지통닭,치킨
수현이네옛날통닭,치킨
더플치킨숯불무뼈닭발,치킨
장수통닭,치킨
더본아구찜,치킨
더플땡초마늘치킨,치킨
서민통닭,치킨
피자나라치킨공주,치킨
털보닭집,치킨
로뎀 구운치킨,치킨
나는자연닭이다,치킨
밀플랜비,치킨
맘스터치,치킨
구도로통닭,치킨
1962옛날통닭,치킨
오븐구이최강더맛닭,치킨
더블플레이치킨,치킨
통닭신사,치킨
삼성치킨,치킨
엘노핌피자,치킨
멕시코리아타코 그릴,치킨
치킨마루,치킨
가마로강정,치킨
파에빠진순살치킨,치킨
네네치킨,치킨
79치킨,치킨
치킨매니아,치킨
타코박스,치킨
계림원누룽지통닭구이,치킨
처갓집양념치킨,치킨
뭉치킨,치킨
송이네옛날치킨집,치킨
맵닭신림점,치킨
당신이선택한인생치킨,치킨
쪽갈비를훔친닭봉씨,치킨
맘스터치,치킨
닭봉씨오븐순살두마리치킨,치킨
네네치킨,치킨
맘스터치,치킨
흑석옛날통닭,치킨
대왕통닭,치킨
인도정통요리점문점옷살,치킨
치꼬뱅,치킨
흥성치킨,치킨
1962옛날통닭,치킨
박리돈까스,치킨
구로치킨마당,치킨
또봉이통닭,치킨
맘스터치,치킨
87닭강정,치킨
파리에다녀온치킨,치킨
청담곱떡,치킨
킹케밥,치킨
도이첸수제핫도그 버거,치킨
도이첸치킨전문점,치킨
하림바베큐통닭,치킨
걸작떡볶이치킨,치킨
집밥으로우주정복,치킨
묵은지등갈비 닭볶음탕,치킨
화로불닭발,치킨
프랭크버거,치킨
원래는치킨집을할려고했었다,치킨
치즈떡볶이와팬케이크브런치,치킨
왈라왈라,치킨
아영이네통떡,치킨
자담치킨,치킨
깡통닭갈비,치킨
이집닭강정잘하네,치킨
오븐마루,치킨
지코바치킨,치킨
찌웅이네숯불두마리치킨,치킨
맘스터치피자앤치킨,치킨
미쳐버린파닭,치킨
꾸브라꼬숯불두마리치킨,치킨
지코바치킨,치킨
지코바치킨,치킨
만년닭강정,치킨
60계치킨,치킨
고인돌닭다리,치킨
오늘은파닭,치킨
쁘이치킨,치킨
교촌치킨,치킨
치킨플러스,치킨
미스신두마리치킨,치킨
BHC,치킨
계림원 신림점,치킨
청춘닭꼬치,치킨
용구비어,치킨
호식이두마리치킨,치킨
신화불닭 관악구 ,치킨
자담치킨,치킨
노랑통닭,치킨
멕시카나,치킨
롯데리아,치킨
호치킨,치킨
멕시카나,치킨
또래오래,치킨
버텍스미국식덮밥,치킨
인생한방이닭,치킨
굽네치킨 피자,치킨
날개닭,치킨
시간포옛날통닭,치킨
오븐마루,치킨
오태식해바라기치킨,치킨
갓튀김닭,치킨
국제통닭,치킨
BBQ,치킨
훈제두마리치킨,치킨
치킨만팔아요,치킨
펀비어킹홈딜리버리,치킨
바삭한옛날통닭,치킨
엉클스치킨,치킨
닭봉씨다섯가지맛치킨 탕쓱,치킨
짱닭치킨,치킨
구미찬통닭,치킨
바삭한옛날통닭,치킨
치킨선생,치킨
철인7호치킨,치킨
바삭한옛날통닭6500원,치킨
공룡도배부른탕수육 치킨,치킨
네네치킨,치킨
바비큐보스,치킨
네네치킨,치킨
꼬끼억,치킨
삼촌들이만든홈메이드치킨,치킨
세븐치킨프라이드,치킨
치킨마루,치킨
이나닭강정,치킨
홀라닭강정,치킨
뿌잉뿌잉야무진파닭,치킨
육회랑치킨,치킨
봉구비어,치킨
원조하림두마리순살치킨,치킨
신림동엉클스치킨,치킨
치킨특별시,치킨
만땅치킨,치킨
카우보이치킨,치킨
하림두마리순살파닭,치킨
원조하림두마리순살파닭,치킨
하림두마리순살치킨,치킨
가마솥통닭구이,치킨
오이시타코야끼,치킨
달빛치킨뱅이,치킨
순살파닭치킨,치킨
봉구비어,치킨
치킨더홈,치킨
수철이네왕새우튀김 떡볶이,치킨
피치랑,치킨
발빠닭,치킨
순삭닭강정,치킨
태리로제떡볶이,치킨
아재포차,치킨
왕손피자,치킨
한결옛통닭,치킨
부라보통닭,치킨
라오니피자,치킨
짱닭치킨,치킨
컬투치킨,치킨
감성키친,치킨
정주튀김,치킨
가마솥도시락 JMT,치킨
명가통닭,치킨
가마솥도시락 서울대맛집,치킨
가마솥도시락 한식,치킨
가마솥도시락 일식,치킨
노들치킨,치킨
가마솥도시락,치킨
나는남자닭,치킨
고기듬뿍미트박스,치킨
치킨시대 피자시대,치킨
5959양꼬치 마라탕,치킨
일행떡볶이 닭강정,치킨
닭강정왕자,치킨
미친피자,피자/양식
BOOMPIZZA붐피자,피자/양식
피제이피자,피자/양식
반올림피자샵,피자/양식
유로코피자,피자/양식
빕스얌딜리버리,피자/양식
파파존스피자,피자/양식
피자헛,피자/양식
도미노피자,피자/양식
피자플래넷,피자/양식
7번가피자,피자/양식
굽네치킨 피자,피자/양식
피자는여기,피자/양식
파스타를부탁해,피자/양식
피자나라치킨공주,피자/양식
피자먹다,피자/양식
왕손피자,피자/양식
프레드피자,피자/양식
미친피자,피자/양식
서오릉피자,피자/양식
까사피에스타,피자/양식
피자탑,피자/양식
슈퍼피자,피자/양식
본스테이크,피자/양식
피제이피자,피자/양식
위험한피자,피자/양식
파스타는보니따,피자/양식
달래줄래파스타 필라프,피자/양식
대왕사각피자,피자/양식
리얼피자,피자/양식
피자마루,피자/양식
맘스터치피자앤치킨,피자/양식
BOOMPIZZA붐피자,피자/양식
폭풍토핑피자스톰,피자/양식
도우라이크피자,피자/양식
1인피자고피자,피자/양식
하데스피자,피자/양식
피자이탈리,피자/양식
비스트로피자,피자/양식
반올림피자샵,피자/양식
